Time	Score	Hips	Spine		Neck		LeftUpperArm	LeftLowerArm	LeftHand				RightUpperArm	RightLowerArm	RightHand				LeftUpperLeg	LeftLowerLeg	LeftFoot		RightUpperLeg	RightLowerLeg	RightFoot		LeftShoulder	RightShoulder	Upper Lip Raiser	Jaw Lowerer	Lip Stretcher L	Lip Stretcher R	Brow Lowerer L	Brow Lowerer R	Lip Corner Depressor L	Lip Corner Depressor R	Eyelid Closed L	Eyelid Closed R	
00:00:00.3699617	235	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 1.0, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.4, 0.9, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.2, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4691449	0.2171892	0.1226402	0.0005050304	0.7218913	0.7218913	0.001055595	0.005895393	0.514937	0.6437097
00:00:00.4565201	290	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.3, 0.9, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4969881	0.2029831	0.08196376	0.001833593	0.9445083	0.9445083	0.01833805	0.01646053	0.4321238	0.7352601
00:00:00.4570209	290	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.3, 0.9, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4969881	0.2029831	0.08196376	0.001833593	0.9445083	0.9445083	0.01833805	0.01646053	0.4321238	0.7352601
00:00:00.4580201	290	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.3, 0.9, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4969881	0.2029831	0.08196376	0.001833593	0.9445083	0.9445083	0.01833805	0.01646053	0.4321238	0.7352601
00:00:00.5435785	346	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.3, 0.9, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.391111	0.2733387	0.03678448	0	0.8121561	0.8121561	0.01465389	0.001092793	0.5466082	0.6388417
00:00:00.5445773	346	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.3, 0.9, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.391111	0.2733387	0.03678448	0	0.8121561	0.8121561	0.01465389	0.001092793	0.5466082	0.6388417
00:00:00.6286335	401	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.0)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.5437636	0.2003279	0.05593985	0.004253228	0.998498	0.998498	0.0106098	0.01797439	0.4542225	0.6789137
00:00:00.6296335	401	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.0)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.5437636	0.2003279	0.05593985	0.004253228	0.998498	0.998498	0.0106098	0.01797439	0.4542225	0.6789137
00:00:00.6301340	401	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.0)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.5437636	0.2003279	0.05593985	0.004253228	0.998498	0.998498	0.0106098	0.01797439	0.4542225	0.6789137
00:00:00.7192524	454	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.3, 0.9, 0.0)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4585941	0.26304	0.04499126	0	0.7169191	0.7169191	0.01999541	0.01137126	0.5884629	0.6566494
