Time	Score	Hips	Spine		Neck		LeftUpperArm	LeftLowerArm	LeftHand				RightUpperArm	RightLowerArm	RightHand				LeftUpperLeg	LeftLowerLeg	LeftFoot		RightUpperLeg	RightLowerLeg	RightFoot		LeftShoulder	RightShoulder	Upper Lip Raiser	Jaw Lowerer	Lip Stretcher L	Lip Stretcher R	Brow Lowerer L	Brow Lowerer R	Lip Corner Depressor L	Lip Corner Depressor R	Eyelid Closed L	Eyelid Closed R	
00:00:00.0909646	58	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(-0.1, 1.5, 0.0)		(-0.3, 1.4, 0.0)	(-0.2, 1.2, 0.2)	(0.0, 1.2, 0.3)				(0.1, 1.4, -0.1)	(0.4, 1.4, 0.0)	(0.1, 1.5, 0.0)				(-0.1, 0.9, 0.0)	(0.0, 0.9, 0.4)	(0.0, 0.7, 0.0)		(0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 1.0, 0.8)		(-0.1, 1.4, 0.0)	(0.0, 1.4, 0.0)	0.5759933	0	0.0007750987	0.03139279	0.4565392	0.4565392	0.006776682	0.2046254	0.6561552	0.8829184,\
00:00:00.0934668	58	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(-0.1, 1.5, 0.0)		(-0.3, 1.4, 0.0)	(-0.2, 1.2, 0.2)	(0.0, 1.2, 0.3)				(0.1, 1.4, -0.1)	(0.4, 1.4, 0.0)	(0.1, 1.5, 0.0)				(-0.1, 0.9, 0.0)	(0.0, 0.9, 0.4)	(0.0, 0.7, 0.0)		(0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 1.0, 0.8)		(-0.1, 1.4, 0.0)	(0.0, 1.4, 0.0)	0.5759933	0	0.0007750987	0.03139279	0.4565392	0.4565392	0.006776682	0.2046254	0.6561552	0.8829184,\
00:00:00.0939750	58	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(-0.1, 1.5, 0.0)		(-0.3, 1.4, 0.0)	(-0.2, 1.2, 0.2)	(0.0, 1.2, 0.3)				(0.1, 1.4, -0.1)	(0.4, 1.4, 0.0)	(0.1, 1.5, 0.0)				(-0.1, 0.9, 0.0)	(0.0, 0.9, 0.4)	(0.0, 0.7, 0.0)		(0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 1.0, 0.8)		(-0.1, 1.4, 0.0)	(0.0, 1.4, 0.0)	0.5759933	0	0.0007750987	0.03139279	0.4565392	0.4565392	0.006776682	0.2046254	0.6561552	0.8829184,\
00:00:00.2002803	118	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(-0.1, 1.5, 0.0)		(-0.3, 1.4, 0.0)	(-0.2, 1.2, 0.2)	(0.0, 1.2, 0.3)				(0.1, 1.4, -0.1)	(0.4, 1.4, 0.0)	(0.1, 1.5, 0.0)				(-0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 0.7, 0.0)		(0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 1.0, 0.8)		(-0.2, 1.4, 0.0)	(0.0, 1.4, 0.0)	0.5759933	0	0.0007750987	0.03139279	0.4565392	0.4565392	0.006776682	0.2046254	0.6561552	0.8829184,\
00:00:00.2007782	118	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(-0.1, 1.5, 0.0)		(-0.3, 1.4, 0.0)	(-0.2, 1.2, 0.2)	(0.0, 1.2, 0.3)				(0.1, 1.4, -0.1)	(0.4, 1.4, 0.0)	(0.1, 1.5, 0.0)				(-0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 0.7, 0.0)		(0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 1.0, 0.8)		(-0.2, 1.4, 0.0)	(0.0, 1.4, 0.0)	0.5759933	0	0.0007750987	0.03139279	0.4565392	0.4565392	0.006776682	0.2046254	0.6561552	0.8829184,\
00:00:00.2014224	118	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(-0.1, 1.5, 0.0)		(-0.3, 1.4, 0.0)	(-0.2, 1.2, 0.2)	(0.0, 1.2, 0.3)				(0.1, 1.4, -0.1)	(0.4, 1.4, 0.0)	(0.1, 1.5, 0.0)				(-0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 0.7, 0.0)		(0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 1.0, 0.8)		(-0.2, 1.4, 0.0)	(0.0, 1.4, 0.0)	0.5759933	0	0.0007750987	0.03139279	0.4565392	0.4565392	0.006776682	0.2046254	0.6561552	0.8829184,\
00:00:00.2953428	186	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(-0.1, 1.5, 0.0)		(-0.3, 1.4, 0.0)	(-0.2, 1.2, 0.2)	(0.0, 1.2, 0.3)				(0.1, 1.4, -0.1)	(0.4, 1.4, 0.0)	(0.1, 1.5, 0.0)				(-0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 0.7, 0.0)		(0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 1.0, 0.8)		(-0.1, 1.4, 0.0)	(0.0, 1.4, 0.0)	0.5759933	0	0.0007750987	0.03139279	0.4565392	0.4565392	0.006776682	0.2046254	0.6561552	0.8829184,\
00:00:00.2958415	186	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(-0.1, 1.5, 0.0)		(-0.3, 1.4, 0.0)	(-0.2, 1.2, 0.2)	(0.0, 1.2, 0.3)				(0.1, 1.4, -0.1)	(0.4, 1.4, 0.0)	(0.1, 1.5, 0.0)				(-0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 0.7, 0.0)		(0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 1.0, 0.8)		(-0.1, 1.4, 0.0)	(0.0, 1.4, 0.0)	0.5759933	0	0.0007750987	0.03139279	0.4565392	0.4565392	0.006776682	0.2046254	0.6561552	0.8829184,\
00:00:00.2963424	186	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(-0.1, 1.5, 0.0)		(-0.3, 1.4, 0.0)	(-0.2, 1.2, 0.2)	(0.0, 1.2, 0.3)				(0.1, 1.4, -0.1)	(0.4, 1.4, 0.0)	(0.1, 1.5, 0.0)				(-0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 0.7, 0.0)		(0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 1.0, 0.8)		(-0.1, 1.4, 0.0)	(0.0, 1.4, 0.0)	0.5759933	0	0.0007750987	0.03139279	0.4565392	0.4565392	0.006776682	0.2046254	0.6561552	0.8829184,\
00:00:00.3894040	246	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(-0.1, 1.5, 0.0)		(-0.3, 1.4, 0.0)	(-0.2, 1.2, 0.2)	(0.0, 1.2, 0.3)				(0.1, 1.4, -0.1)	(0.4, 1.4, 0.0)	(0.1, 1.5, 0.0)				(-0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 0.7, 0.0)		(0.1, 0.9, 0.0)	(0.0, 1.0, 0.4)	(0.0, 1.0, 0.8)		(-0.1, 1.4, 0.0)	(0.0, 1.4, 0.0)	0.5759933	0	0.0007750987	0.03139279	0.4565392	0.4565392	0.006776682	0.2046254	0.6561552	0.8829184,\
